disease,species,module_id,module_size,node_conservation,edge_conservation,edges_evaluated,edges_conserved,topology_conservation
COVID,mouse,19,5,1.0,0.0,4,0,0.0
COVID,yeast,19,5,0.4,,0,0,0.0
COVID,fly,19,5,0.6,,0,0,0.0
COVID,mouse,20,6,1.0,0.0,5,0,0.0
COVID,yeast,20,6,0.8333333333333334,,0,0,0.0
COVID,fly,20,6,0.8333333333333334,,0,0,0.0
COVID,mouse,21,49,0.8775510204081632,0.0,35,0,0.0
COVID,yeast,21,49,0.10204081632653061,,0,0,0.0
COVID,fly,21,49,0.32653061224489793,,0,0,0.0
BC,mouse,0,238,0.9453781512605042,0.04424778761061947,226,10,0.5218340611353712
BC,yeast,0,238,0.27310924369747897,,0,0,0.0
BC,fly,0,238,0.5672268907563025,0.05925925925925926,135,8,0.5133689839572193
BC,mouse,1,268,0.8843283582089553,0.06569343065693431,274,18,0.5313588850174216
BC,yeast,1,268,0.2462686567164179,,0,0,0.0
BC,fly,1,268,0.5261194029850746,0.0,26,0,0.3259004208340165
BC,mouse,2,348,0.9281609195402298,0.043478260869565216,322,14,0.5207715133531158
BC,yeast,2,348,0.27586206896551724,,0,0,0.0
BC,fly,2,348,0.5775862068965517,0.085,200,17,0.5263157894736842
BC,mouse,3,396,0.9318181818181818,0.05324074074074074,432,23,0.5239085239085239
BC,yeast,3,396,0.21464646464646464,,0,0,0.0
BC,fly,3,396,0.5277777777777778,0.07692307692307693,39,3,0.52
BC,mouse,4,70,0.8428571428571429,0.08620689655172414,58,5,0.5403225806451613
BC,yeast,4,70,0.15714285714285714,,0,0,0.0
BC,fly,4,70,0.35714285714285715,,0,0,0.0
BC,mouse,5,184,0.8967391304347826,0.02857142857142857,175,5,0.5131578947368421
BC,yeast,5,184,0.22826086956521738,0.0,30,0,0.5
BC,fly,5,184,0.4891304347826087,,0,0,0.0
BC,mouse,6,341,0.9413489736070382,0.050595238095238096,336,17,0.5247093023255814
BC,yeast,6,341,0.35777126099706746,,0,0,0.0
BC,fly,6,341,0.6451612903225806,0.004545454545454545,220,1,0.5018115942028986
BC,mouse,7,90,0.9222222222222223,0.08235294117647059,85,7,0.5406976744186046
BC,yeast,7,90,0.25555555555555554,,0,0,0.0
BC,fly,7,90,0.5111111111111111,0.125,24,3,0.5510204081632653
BC,mouse,8,81,0.9259259259259259,0.10526315789473684,76,8,0.5526315789473684
BC,yeast,8,81,0.25925925925925924,,0,0,0.0
BC,fly,8,81,0.4444444444444444,0.0,18,0,0.0
BC,mouse,9,45,0.9111111111111111,0.0,40,0,0.0
BC,yeast,9,45,0.15555555555555556,,0,0,0.0
BC,fly,9,45,0.5111111111111111,0.0,22,0,0.0
BC,mouse,10,121,0.9008264462809917,,0,0,0.0
BC,yeast,10,121,0.4132231404958678,0.0,49,0,0.0
BC,fly,10,121,0.6446280991735537,0.0,77,0,0.0
